가게 이름,별점,리뷰 수,태그들
사월에보리밥과주꾸미 2001아울렛중계점,3.4,5,
모쿠모쿠 2001아울렛중계점,3.7,3,#혼밥
2001아울렛 중계점 푸드폴리탄,0,0,
땡기네야채곱창,5.0,2,#술한잔하기좋은
마켓모아모아 하계청구점,0,0,#카카오페이
달밭소곱창,4.4,9,"#점심식사, #점심특선, #제로페이"
치킨더주모리 하계점,0,0,#제로페이
진미초벌삼겹살,0,0,
장위동유성집 노원점,3.1,10,"#가족모임, #정육식당, #제로페이"
천상애장어가 하계점,4.8,5,"#가족모임, #점심특선, #친목모임, #제로페이"
돌마루,4.8,6,#제로페이
고향집,0,0,
장가네 장대갈비,0,0,
바다세상,4.7,10,#제로페이
깜닭치킨 하계점,4.7,3,#제로페이
김밥나라,4.0,6,#제로페이
명동바지락칼국수,4.0,1,"#혼밥, #제로페이"
씨앤미춘자곱창,0,0,
장보고사랑채,1.0,1,"#혼밥, #제로페이"
마시내탕수육&파닭,0,0,#제로페이
조아애떡볶이 하계중앙점,4.0,1,#제로페이
만나밥상,0,0,"#한식뷔페, #카카오페이, #제로페이"
마포고깃간 하계점,3.3,3,#제로페이
케이준치킨,0,0,#제로페이
하계생오리,4.8,6,"#가족모임, #회식장소, #제로페이"
진미삼겹살,0,0,#제로페이
신설국,2.9,10,"#가족모임, #상견례, #점심식사, #친목모임, #코스요리, #회식장소, #제로페이"
하남돼지집 노원하계점,2.5,12,#제로페이
온천골,2.6,9,#혼밥
달포차,0,0,
떡슐랭 노원점,0,0,"#감성, #동네맛집, #분위기좋은, #좋은음악, #테라스"
긴자료코 노원하계점,4.1,34,"#경양식요리, #혼밥, #제로페이"
조아조아치킨호프,5.0,1,
BBQ 하계점,2.6,12,
라이라이스 서울노원점,5.0,2,#제로페이
복호두 노원하계점,5.0,3,"#카카오페이, #제로페이"
미각참치&활어,0,0,
골마을남원추어탕,4.8,5,#제로페이
본죽&비빔밥cafe 하계점,2.7,10,"#죽전문점, #제로페이"
푸라닭치킨 하계점,3.7,3,#제로페이
정가네창골지짐이,0,0,
푸라닭치킨 창4동점,4.0,6,#제로페이
호롱이분식,0,0,#제로페이
미소식당,5.0,2,"#이동약자접근, #제로페이"
네네치킨 상계중앙점,3.7,3,#제로페이
착한국밥,0,0,
또래오래 노원상계점,0,0,#제로페이
쿤타치자가제면,4.6,5,#혼밥
왕대박곱창,0,0,
한강,0,0,
무주식당,2.0,3,#제로페이
맛있는김밥,4.7,3,"#김밥맛라면, #맛김밥, #어묵우동, #유부김밥, #해장라면, #제로페이"
토박이 야채곱창,0,0,#제로페이
블리스케이크,0,0,"#레터링케이크, #케이크주문제작"
씨앤미스파 식당,0,0,
만나푸드,0,0,#제로페이
플레노,0,0,
앤플레노,0,0,
떡실신,0,0,
노브랜드버거 중계공원점,3.0,24,"#혼밥, #카카오페이"
(주)디핀다트코리아중계점,0,0,
장인닭갈비 중계홈플러스점,4.0,4,#제로페이
신고집찜칼국수 본점,3.6,30,#제로페이
정가네한방왕족발보쌈,4.0,7,"#점심특선, #카카오페이, #제로페이"
태능우렁쌈밥 하계점,3.1,11,"#건강식, #제로페이"
태능숯불갈비,3.6,23,"#가족모임, #노포, #점심식사, #친목모임, #제로페이"
하계동 닭한마리,3.6,8,#제로페이
목포세꼬시 회 스시다네,3.5,28,"#노원구스시, #노원구초밥, #목포세꼬시, #하계동목포세꼬시, #하계동초밥, #방문포장, #이동약자접근, #일식코스요리, #점심식사, #친목모임, #제로페이"
우돈숯불갈비,4.0,6,"#점심식사, #제로페이"
신강양꼬치 하계점,0,0,
식상가,4.9,7,"#훠궈무한리필, #제로페이"
참맛순대국,0,0,
한동길감자탕,4.9,9,"#회식장소, #카카오페이, #제로페이"
원생유황오리주물럭,0,0,
해미쭈꾸미,0,0,
스시준,3.4,24,#제로페이
토종고을,0,0,
속초세꼬시,3.0,1,
짬뽕필락 하계점,3.0,35,"#혼밥, #제로페이"
전복한상,3.6,8,"#가족모임, #건강식, #친목모임, #코스요리, #제로페이"
선진국낙지마당 하계점,3.1,11,#제로페이
지리산흙돼지,0,0,
화통소금구이,4.2,12,"#고기, #고기집, #고깃집, #삼겹살, #소금구이, #제로페이"
파리바게뜨 창동녹천점,4.3,6,"#선한영향력가게, #카카오페이, #제로페이"
장터국수,0,0,#제로페이
금희네삼겹살,5.0,9,#제로페이
피자비토랩 노원점,0,0,
뚱볶이 중계점,0,0,
옛날통닭,3.7,7,#제로페이
본죽 중계브라운스톤점,3.8,5,"#혼밥, #제로페이"
춘천왕닭갈비,3.4,16,"#가족모임, #디저트카페, #친목모임, #제로페이"
고봉민김밥인 노원중계브라운스톤점,3.5,4,#제로페이
하나샤브샤브 본점,3.6,49,"#코스요리, #제로페이"
포앤시드니 중계브라운스톤점,3.4,11,"#노원맛집, #배달가능, #서울키즈오케이존, #쌀국수맛집, #월남쌈맛집, #캐주얼한분위기, #제로페이"
유나인,3.8,12,"#카카오페이, #제로페이"
해물마당,4.2,5,"#가족모임, #봄제철음식, #점심식사, #친목모임, #제로페이"
배스킨라빈스 중계브라운스톤점,1.9,10,"#카카오페이, #제로페이"
,11,,
치어스 중계2동점,0,0,#제로페이
가장맛있는족발 중계브라운스톤점,2.1,11,"#가족모임, #친목모임, #제로페이"
던킨 중계브라운스톤점,2.5,8,"#카카오페이, #제로페이"
돌깨마을맷돌순두부 중계점,1.1,13,"#점심식사, #혼밥, #제로페이"
신의주찹쌀순대 중계브라운스톤점,3.2,62,"#혼밥, #제로페이"
그남자의덮밥 중계점,3.9,14,"#데이트코스, #선한영향력가게, #혼밥, #제로페이"
매일파스타,3.3,15,"#데이트코스, #제로페이"
꽈백최선생 중계브라운스톤점,0,0,"#카카오페이, #제로페이"
왕돈까스,0,0,
지짐이 중계동점,0,0,
옹기종기,4.7,7,"#건강식, #레트로풍, #아담한, #제로페이"
시루떡집,0,0,
돈앤스파게티,0,0,
토스트&김밥,3.8,4,"#노포, #제로페이"
청춘감성쌀핫도그 중계브라운스톤점,1.0,1,
명인만두 중계점,2.5,19,"#혼밥, #제로페이"
숯불 직화꼬치바베큐,2.3,19,"#혼술, #제로페이"
메이향 중계브라운스톤점,2.6,14,#제로페이
양평해장국 중계점,4.3,46,#제로페이
시골청국장,3.7,6,"#점심식사, #제로페이"
정직유부 중계브라운스톤점,0,0,#카카오페이
을지로골뱅이,5.0,2,#제로페이
놀부부대찌개 노원하계점,4.3,8,#제로페이
해주곰탕 하계직영점,2.9,21,#제로페이
주도락,2.4,5,"#다이닝펍, #점심식사, #제로페이"
고져스,3.7,17,"#브런치카페, #이동약자접근, #제로페이"
웰빙보리밥,0,0,
42번가,0,0,
이리로,4.3,10,"#데이트코스, #분위기좋은, #선한영향력가게, #이동약자접근, #점심식사, #테라스가있는, #제로페이"
등나무집흑염소전문점,2.2,6,#제로페이
하계곱창,0,0,
궁채,0,0,#혼밥
전주콩나물국밥 창동점,3.1,7,"#혼밥, #제로페이"
밀향기국시전문점,2.0,1,
차이나짬뽕,3.4,7,"#혼밥, #제로페이"
처갓집양념치킨 녹천점,2.3,3,"#카카오페이, #제로페이"
맛닭꼬 중계브라운스톤점,2.9,7,#제로페이
육대장 브라운스톤점,3.1,8,"#혼밥, #제로페이"
메밀사랑묵사랑 중계점,4.7,7,#제로페이
유명해물찜,0,0,
망향비빔국수 중계점,3.0,4,#제로페이
픽미픽미아이스 중계브라운스톤점,0,0,#제로페이
백소정 중계점,4.5,4,#제로페이
소문난막창삼겹,4.0,1,
진주품은활어 중계브라운스톤점,0,0,
명천동태찜 낙지볶음,4.7,9,
펀치피자 노원점,0,0,
경복궁떡집,2.3,4,
뚜레쥬르 중계브라운점,3.1,11,"#카카오페이, #제로페이"
중국대반점,3.4,7,#돌잔치
건영백화점 푸드코트,0,0,
불쌈전주비빔밥,5.0,1,#가성비좋은
새떡따오,0,0,
퀸스푸드,0,0,
신중국관,3.0,6,
속초장터본닭강정 건영백화점,0,0,
별채,1.7,6,"#가족모임, #친목모임"
부뚜막,3.3,3,#제로페이
마인츠돔 중계점,3.1,25,"#베이커리카페, #제로페이"
파리바게뜨 중계2동점,3.0,4,"#카카오페이, #제로페이"
곱떡치떡 중계점,0,0,
참맛깔곱창,4.0,11,
짱김밥,0,0,
치킨신드롬 중계점,4.5,4,#제로페이
멕시칸치킨 중계롯데점,4.3,4,
궁짜장,5.0,1,
아이스캔디 중계점,0,0,"#카카오페이, #제로페이"
두레통닭 중계점,3.5,2,
퀸즈마라 마라탕 중계점,5.0,9,
멕시카나치킨 하계점,0,0,
죠스떡볶이 중계2동점,1.7,6,"#혼밥, #제로페이"
대림각,3.0,9,#제로페이
맥도날드 세이브존노원점,3.3,24,"#점심식사, #카카오페이"
브레댄코 하계역점,3.8,5,#제로페이
피자엔,3.0,8,
수라당,0,0,
미소야 노원세이브존점,0,0,#혼밥
북촌손만두 세이브존노원점,1.0,3,"#혼밥, #제로페이"
시카고스테이크,0,0,
삐아몬테,0,0,
송사부수제쌀고로케 세이브존노원점,0,0,
스시선,3.0,2,"#점심식사, #회전초밥"
가마솥순대국밥 세이브존 노원점,0,0,
일품꿀강정,0,0,#제로페이
후라이킴,0,0,
명동칼국수,1.0,1,
챠오차이,2.4,5,
쑝쑝돈까스 세이브존노원점,5.0,1,"#경양식요리, #혼밥"
죽이야기 노원세이브점,3.3,7,
생활의달인,0,0,
스시코리아,5.0,1,
얌샘김밥 노원세이브존점,1.0,6,#혼밥
머꼬바,0,0,
명가통닭 하계세이브존,5.0,1,
맛깔식당,4.0,5,"#점심식사, #혼밥, #제로페이"
박정자할매족발보쌈 하계1동점,0,0,
진만두,0,0,
옥쓔타코,5.0,5,"#카카오페이, #제로페이"
을지병원 영안실식당,0,0,#제로페이
다미한식,0,0,
무사 창동역점,2.0,1,
정산포뻘낙지,1.2,5,"#봄제철음식, #점심식사, #점심특선, #제로페이"
남원추어탕 창동직영점,3.0,4,#제로페이
당고개숯불닭갈비 창동직영점,3.7,3,"#점심특선, #제로페이"
녹천돼지갈비,4.5,6,#제로페이
파리바게뜨 하계벽산점,2.3,3,"#카카오페이, #제로페이"
수제떡갈비참우동,0,0,
하계국수,5.0,4,#점심식사
아이스크림할인점,0,0,
하베스트,0,0,
은혜김밥,5.0,1,#제로페이
장충동 왕족발보쌈365 하계동점,0,0,
픽미픽미아이스 학여울청구점,0,0,#카카오페이
맘마토스트,0,0,#제로페이
굿모닝치킨,5.0,3,#제로페이
파삼솥뚜껑삼겹살 하계점,0,0,
치킨빡스,2.0,1,#제로페이
아구&해물,4.0,1,#제로페이
쌍둥이네 하계점,3.5,2,#제로페이
호남식당,0,0,#제로페이
박가네왕족발보쌈,4.5,4,#제로페이
파김치솥뚜껑삼겹살 하계점,2.3,6,
원조삼계탕,3.4,5,"#점심식사, #혼밥, #제로페이"
삼성먹거리식당,0,0,#제로페이
봉답기사식당,5.0,1,"#점심식사, #제로페이"
88옛날통닭 창동점,4.0,6,#제로페이
창골식당,0,0,
여신닭발 앤 제주도생선구이,0,0,#봄제철음식
4단지분식,0,0,#제로페이
얼음왕국 창동주공293호점,0,0,#카카오페이
또래오래 도봉녹천역점,1.0,1,#제로페이
도고,0,0,
마루국시,3.2,10,"#점심식사, #친목모임, #코스요리, #퓨전한정식, #회식장소, #제로페이"
송담추어탕 서울월계점,3.0,1,"#이동약자접근, #혼밥"
옥선이시골밥상보리보리,3.3,7,"#가족모임, #친목모임"
갱스터떡볶이,5.0,2,
킹콩떡볶이 인덕대점,5.0,3,#제로페이
피자스쿨 월계점,3.7,6,#제로페이
엄마떡집,3.5,4,#제로페이
하다식당 월계직영점,4.5,24,#혼밥
그냥가게,5.0,1,#제로페이
밥은,4.6,8,"#혼밥, #제로페이"
고기듬뿍국물두루치기 서울하계점,0,0,#제로페이
주주베이커리,0,0,"#비건베이커리, #제로페이"
휘경곱창 월계점,4.9,7,#제로페이
슈퍼코너,0,0,#카카오페이
민들레초밥,4.7,12,"#점심특선, #혼밥, #제로페이"
BBQ 월계스마트점,3.7,6,#제로페이
민들레뜨락,5.0,1,#제로페이
예돈,5.0,9,"#카카오페이, #제로페이"
한끼뚝딱,5.0,2,#제로페이
장군식당,0,0,
벼락이네띵똥땡키친,4.9,9,"#리가토니파스타, #올리브오일파스타, #치즈리소토, #토마토크림파스타, #바질페스토파스타, #제로페이"
다온,4.2,6,#제로페이
오늘은돈부리,4.3,6,#혼밥
아빵,4.1,13,"#친목모임, #제로페이"
김가네 인덕대점,3.6,7,"#혼밥, #제로페이"
와플팝,5.0,9,#제로페이
오미1번지집밥,5.0,1,#제로페이
BHC치킨 월계스타점,2.5,11,
호식이두마리치킨 월계1호점,0,0,#제로페이
파리바게뜨 월계사슴점,4.0,1,"#카카오페이, #제로페이"
사계절한식부페,1.0,3,"#점심식사, #한식뷔페, #제로페이"
신의주찹쌀순대 월계점,3.3,4,"#점심식사, #혼밥"
본죽 월계점,5.0,6,#제로페이
갈통삼 월계점,0,0,
돈카춘 월계점,4.0,2,#경양식요리
성전나리타 월계점,3.0,2,#제로페이
노랑통닭 월계점,3.5,12,#제로페이
김밥나라 월계점,2.0,2,#제로페이
대감집,0,0,
임자구포국수,4.7,6,"#친목모임, #혼술, #제로페이"
노원회센타,0,0,
등촌샤브칼국수 월계점,5.0,2,"#가족모임, #점심특선, #친목모임, #제로페이"
목원,0,0,#제로페이
양평,0,0,#제로페이
(주)미래캐터링,0,0,
토종 전&동동주막걸리,0,0,
창동회관,1.0,1,
박보영김밥,4.2,10,#제로페이
별궁갈비,0,0,
통돌이숯불구이,0,0,
청담주막 창동점,3.5,2,"#점심뷔페, #점심식사, #한식뷔페"
백두산황소곱창,3.4,5,#제로페이
무지개맥주 서울창동역점,0,0,#대형스크린
주해장집 창동점,5.0,1,
봉구스밥버거 창동점,2.3,7,"#이동약자접근, #제로페이"
한솔갈비,5.0,6,#제로페이
명태가,0,0,
텐더크래커,5.0,2,"#이동약자접근, #혼술"
동숭낙산,0,0,
할머니냉면집,0,0,
전주관갈비,3.7,3,"#점심식사, #제로페이"
5길즉석떡볶이,0,0,
장가네짬뽕,4.0,1,
뒷뜰분식,0,0,
올터 쭈꾸미,0,0,
피자굽는오빠,5.0,3,#제로페이
파스타찹찹,0,0,#경양식요리
사랑의김밥,0,0,
굽네치킨 월계2동점,3.1,7,
냠냠아이스크림 월계점,0,0,
뚜레쥬르 월계역점,4.5,6,"#카카오페이, #제로페이"
무궁화포차,0,0,
불닭발10초떡볶기,0,0,
종로빈대떡,4.2,5,#제로페이
월하,5.0,1,#제로페이
백번가코다리,4.9,9,"#데이트코스, #점심특선, #친목모임, #회식장소, #제로페이"
쌍둥이네,0,0,
아이스크림스토리 월계청백점,0,0,
인덕원대학교 학생식당,0,0,
치킨뱅이 창동역점,3.5,2,#제로페이
원할머니보쌈족발 창동역점,4.5,2,
서울뚝배기,0,0,"#점심식사, #혼밥"
BBQ 창동본점,1.0,12,#제로페이
오떡 창동점,0,0,
대복분식,0,0,
코리엔탈깻잎두마리치킨 창동점,5.0,1,#제로페이
모락로제떡볶이&닭강정 창동점,0,0,
갯마을,4.4,5,"#가족모임, #점심식사, #정갈한느낌, #친목모임, #회식장소, #제로페이"
경우가,5.0,2,#점심식사
최고집칼국수,2.7,27,#제로페이
,715,,
자연숯불화로구이,3.3,3,#제로페이
88옛날통닭 월계점,5.0,1,#제로페이
군산홍어찜,0,0,
월계사철탕,0,0,
달님과자,5.0,2,#제로페이
산골냉면,0,0,
오늘은불닭발,0,0,
교촌치킨 인덕대점,3.0,7,#제로페이
리얼파스타 창동점,3.0,9,"#가성비좋은, #혼밥, #카카오페이, #제로페이"
맥주창고 창동점,3.7,3,"#세계맥주, #술한잔하기좋은, #제로페이"
미락해장국,0,0,
,18,,
브롱스 창동점,5.0,5,"#데이트코스, #수제맥주, #친목모임, #피맥, #제로페이"
종로주막,5.0,1,
오늘통닭 창동점,3.0,7,"#노포, #제로페이"
제니로제떡볶이 창동점,1.0,1,
장모님손맛사철탕,0,0,"#가족모임, #건강식, #점심식사, #친목모임, #제로페이"
지노피자,4.9,19,"#데이트코스, #피맥, #혼밥, #제로페이"
달술밤,3.1,7,"#분위기좋은, #제로페이"
홍대쌀국수 이마트 창동점,4.1,7,#혼밥
,73,,
고봉민김밥인 서울도봉창동역점,3.3,4,"#혼밥, #제로페이"
한스친친 창동점,2.5,16,"#안심식당, #가족모임, #돌잔치, #상견례, #점심특선, #친목모임, #코스요리, #회식장소, #제로페이"
호박가든 부안2호점,0,0,"#친목모임, #제로페이"
송림순대집,0,0,
긴말하지않겠다냉면 창동점,0,0,
빨간모자피자 창동점,5.0,1,
앙또옥,0,0,"#답례떡, #떡케이크, #상차림떡, #앙금플라워케이크, #창동떡케이크"
민셰프,0,0,"#단체도시락, #도시락, #민셰프, #배달도시락, #수제도시락, #제로페이"
장원삼계탕 신창점,4.3,3,
교촌치킨 창3동점,3.5,6,#제로페이
화덕애어선생,1.0,2,"#생선조림, #창동맛집, #창동생선구이, #창림초맛집, #화덕구이, #가족모임, #친목모임, #제로페이"
오늘도,4.8,5,#제로페이
창골멸치국수,5.0,5,"#노포, #제로페이"
정원가 수제숯불갈비,0,0,
서래왕차돌 창동점,5.0,2,
치킨주막 창3동점,0,0,
영자네곱창 창동점,2.8,5,#제로페이
산도토리임자탕,4.6,67,"#안심식당, #건강식, #제로페이"
신창족발,4.0,3,#제로페이
가츠가츠,5.0,13,"#돈까스맛집, #서울돈까스맛집, #수유돈까스, #일식돈까스, #창동맛집, #혼밥, #제로페이"
주주총회,0,0,
안방맛집 신창동점,5.0,1,#제로페이
욕쟁이할매불냉면,0,0,#혼밥
차칸닭도리탕 창동점,0,0,
민식당,5.0,2,#회식장소
곤지암할매소머리국밥 창동점,0,0,#제로페이
저팔계사람잡네 신창점,5.0,4,#제로페이
소양강닭갈비,4.5,17,#제로페이
맛나분식&한식,4.0,1,
후니후니,0,0,
하나애,0,0,
고기창고 북새통제1창고,0,0,
삼호령닭발 수유점,0,0,
두번먹는명인김치찜,0,0,
케이엘씨샌드위치전문점,0,0,
흥부네뒷고기,5.0,1,#제로페이
솔이,0,0,#제로페이
솥뚜껑돼지천만마리 창3동점,0,0,
한잔해,0,0,
자담치킨 초안산신창점,5.0,1,
맛나치킨,4.4,8,#노포
북새통,4.2,25,"#노포, #제로페이"
전주식당,3.7,3,#제로페이
맛다맛,0,0,"#혼밥, #제로페이"
초안생삼겹살,4.0,3,#제로페이
동대문곱순이네곱창,0,0,#제로페이
조선닭강정,4.0,1,#제로페이
짝태앤노가리 창동점,0,0,#제로페이
또래오래 도봉창동점,3.0,2,
라면생각라면,0,0,"#도봉구라멘, #도봉구라면, #라면, #라면맛집, #혼밥, #혼술"
정육점식당,0,0,
공릉동닭한마리 신창동점,0,0,#제로페이
타코냥타코야끼,5.0,1,"#카카오페이, #제로페이"
진고래아구찜해물찜,0,0,#제로페이
행복김밥,4.7,7,#제로페이
골목집,4.5,2,
파리바게뜨 신창초교점,3.0,2,"#카카오페이, #제로페이"
칼국수랑돼지나라,0,0,#제로페이
어시장포차,0,0,"#카카오페이, #제로페이"
초등마켓아이스크림 월계본점,0,0,
88켄터키치킨 창동(신화초교)점,4.8,6,"#이동약자접근, #제로페이"
응응스크르,0,0,"#카카오페이, #제로페이"
카페토스피아 월계점,4.8,4,#제로페이
봉구스밥버거 월계동점,2.2,5,#제로페이
파리바게뜨 월계롯데점,3.0,7,"#카카오페이, #제로페이"
스미스 부대찌개,0,0,#제로페이
보동식죽,0,0,
김밥천국,1.0,1,
꼰대꽈배기 월계점,0,0,#선한영향력가게
까망김밥,5.0,1,
박정자할매족발보쌈 월계2동점,0,0,
,0,,
또래오래 노원월계점,5.0,3,
뽀뽀떡볶이,0,0,
찌마기 창동점,3.7,23,#제로페이
풍류 창동점,0,0,
창동쭈꾸미,0,0,
박가부대 창동역점,0,0,#제로페이
을지로골뱅이,0,0,
영수네씨앗닭강정,0,0,
영수네만두 창동직영점,5.0,1,#제로페이
W바,0,0,
뜸들이다 창동점,5.0,3,"#혼밥, #제로페이"
오섭생연구소,0,0,#안심식당
힘난다버거 창동역점,3.0,2,#제로페이
섭생정식 창동본점,3.6,36,"#안심식당, #가족모임, #점심특선, #친목모임"
즐거운술상,3.7,31,"#코스요리, #한정식코스요리, #혼술"
배씨상회 창동점,3.0,2,"#오뎅바, #친목모임, #제로페이"
쌈촌 창동점,3.7,15,"#안심식당, #가족모임, #건강식, #점심특선, #친목모임, #회식장소, #제로페이"
스윗스마일,0,0,"#카카오페이, #제로페이"
뿡어빵어,0,0,
카페라움,0,0,"#수제쿠키, #쿠키선물, #쿠키택배, #버터바, #카카오페이, #제로페이"
콴,0,0,"#카카오페이, #제로페이"
와플대학 신창캠퍼스,5.0,1,"#카카오페이, #제로페이"
창2동도서관라면,0,0,#제로페이
길옆,0,0,
홈&혼호프,0,0,
솔호프&소주,0,0,
고모네포차,0,0,#제로페이
1%활어&숙성회,0,0,#제로페이
1977청담골,5.0,1,
주장,5.0,3,"#소개팅, #친목모임"
몽블랑제과점,5.0,1,#제로페이
명품찌개&찜,5.0,1,#제로페이
88가마솥족발,0,0,#제로페이
초밥이야기,5.0,4,
불란서베이커리,3.9,7,#제로페이
유럽식바베큐,0,0,
오포차 신창동점,0,0,
플러스호프치킨,0,0,
총각수산,0,0,
초안골빈대떡,0,0,#제로페이
바른생활맥주집,1.0,1,#제로페이
회떠날드,0,0,
오가닭 번동점,3.3,4,#제로페이
큰맘할매순대국 번동점,3.1,10,"#점심식사, #혼밥, #제로페이"
호호포차 창동점,4.0,1,
파리바게뜨 창동역동부점,2.8,4,"#카카오페이, #제로페이"
88주전자,0,0,
피아노바,0,0,
홍콩반점0410 창동역점,4.2,36,"#이동약자접근, #혼밥, #카카오페이, #제로페이"
수유리닭집 창동점,5.0,2,
팔딱팔딱,1.5,2,"#회식장소, #제로페이"
뉴창동화로숯불구이,1.0,1,"#점심식사, #혼밥, #제로페이"
구구한식뷔폐,0,0,
허선생네반학년 건조반생선들,0,0,
병장부대찌개 창동점,3.0,7,#제로페이
궁전칼국수,0,0,
이삭토스트 창동역서부점,3.4,11,"#카카오페이, #제로페이"
스시황,2.3,10,"#분위기좋은, #혼밥, #혼술, #제로페이"
예림해물손칼국수,0,0,
창동호프,0,0,#제로페이
감나무집,0,0,#제로페이
황제탕후루 서울창동점,5.0,2,"#카카오페이, #제로페이"
러브라이스샵,4.5,2,"#앙금플라워케이크, #창동떡케이크, #창동숫자케이크, #창동용돈케이크, #도봉구떡케이크, #제로페이"
미인떡볶이,0,0,
이가네 즉석바지락칼국수,3.0,8,"#혼밥, #제로페이"
오닭꼬치,4.0,2,"#혼술, #제로페이"
탕이야,0,0,#제로페이
파리바게뜨 신창점,1.9,9,"#카카오페이, #제로페이"
주야별식,5.0,4,"#친목모임, #제로페이"
할머니토스트,4.2,53,"#이동약자접근, #제로페이"
동근이숯불두마리치킨 서울창동점,0,0,#제로페이
양지식당,5.0,1,#제로페이
김밥하우스,5.0,3,#제로페이
파스타포차남자 창동본점,5.0,2,#카카오페이
우타로바,5.0,2,#제로페이
플러스피자,0,0,#제로페이
옛그집,4.8,5,
늘해랑오리이야기,0,0,#제로페이
홍반장,3.7,3,#제로페이
토담,2.8,5,"#노포, #제로페이"
원조돈곱창,4.4,7,"#혼술, #제로페이"
불볶이와튀김범벅 창동직영점,1.4,5,"#혼밥, #제로페이"
썬더치킨 창동1호점,0,0,
봉스떡볶이,0,0,
봉평메밀촌,0,0,
호가네철판곱창,0,0,
박순남의오시는족족,4.2,5,#제로페이
갑진치킨 창동점,0,0,
홍어이야기,5.0,1,"#노포, #제로페이"
닭발나라,0,0,
,24,,
본창골,0,0,
라쿵푸마라탕 창동점,4.9,19,"#꿔바로우, #마라샹궈, #마라탕, #혼밥, #제로페이"
미르미분식과김밥,2.9,23,#혼밥
창동 헤이판,0,0,
김삼순생고기전문점,0,0,
온누림숯불구이,0,0,
포메인 창동역점,4.2,5,"#친목모임, #혼밥, #제로페이"
골목깡통집,5.0,1,"#점심특선, #카카오페이, #제로페이"
창동황토골,0,0,
철수는부대찌개 영희는김치찌개 창동역점,4.3,12,"#혼밥, #혼술"
기와숯불갈비샤브전문점 창동점,2.5,2,"#가족모임, #친목모임, #제로페이"
삼오낙지,4.7,32,"#낙지맛집, #도봉구맛집, #쌍문동맛집, #쌍문역맛집, #창동맛집, #이동약자접근, #점심식사, #친목모임, #제로페이"
빛고을식당,4.8,4,#제로페이
먹깨비,5.0,1,#제로페이
앤버터,4.9,13,#제로페이
꼼향 직영점,4.5,17,"#꼼장어, #닭발, #데이트, #맛집, #술집, #제로페이"
영계소문옛날통닭,4.5,2,#제로페이
민주네곱창,4.8,19,"#노포, #제로페이"
윤가네집밥,5.0,3,#제로페이
장충엄마족발보쌈,0,0,
오대양식당,0,0,#제로페이
태양치킨닭강정,4.5,2,#제로페이
황제정육식당,0,0,#제로페이
논두렁,5.0,3,#제로페이
신상하이,4.0,7,#제로페이
자이언트 호프&치킨,4.5,2,#제로페이
915덮닭,0,0,
창동맥주공장,0,0,
도리뎅뎅,0,0,#제로페이
꽃돼지삼겹살 창동점,4.0,3,"#창동역고기집, #창동역목살바베큐, #창동역삼겹살, #창동역소갈비육회, #창동역차돌박이, #점심식사, #친목모임, #회식장소, #제로페이"
주인포차,0,0,"#혼술, #카카오페이, #제로페이"
박영희왕만두전문점,2.0,1,
맛나네,0,0,
불렁불렁,0,0,
부산오뎅,4.0,4,"#선술집, #오뎅바, #친목모임, #제로페이"
미미분식,0,0,
미소야 창동점,2.4,11,"#혼밥, #제로페이"
대세노가리,0,0,#해물포차
골목집,4.0,6,"#노포, #술한잔하기좋은, #오뎅바, #편의점포차, #해물포차, #제로페이"
짝태&노가리 창동역점,0,0,
오공김밥,4.3,3,"#카카오페이, #제로페이"
배스킨라빈스 창동역2점,3.7,10,"#카카오페이, #제로페이"
중앙호프,0,0,#제로페이
태능갈비,0,0,
빈대떡신사 창동본점,5.0,1,
제일곱창,3.9,22,#노포
용두할매쭈꾸미,4.0,1,"#노포, #봄제철음식, #카카오페이, #제로페이"
하누소 창동본점,2.5,99,"#가족모임, #가족행사, #돌잔치, #상견례, #점심특선, #친목모임, #코스요리, #회식장소, #제로페이"
장단,5.0,3,"#위스키바, #칵테일바, #혼술"
톤톤,4.8,20,#제로페이
곱창김가네 창동점,4.3,6,#제로페이
쌍문동닭한마리,5.0,4,#제로페이
칙코리아,4.5,2,#제로페이
고향집,0,0,
신향원,4.2,6,
헬로파스타,3.6,27,"#이동약자접근, #혼밥, #혼술, #제로페이"
지에스카페,0,0,"#명품우동약선죽, #제로페이"
아빠두리만든떡볶이 창동점,0,0,
탱자나무집,0,0,
시골집,4.0,1,"#한식뷔페, #제로페이"
설궁,5.0,2,#제로페이
노란주전자,5.0,5,"#술한잔하기좋은, #제로페이"
원샷비어치킨호프,5.0,2,
낙지애가,4.4,12,"#안심식당, #제로페이"
노브랜드버거 신창점,4.3,7,"#혼밥, #카카오페이, #제로페이"
토담골,0,0,#제로페이
본죽 신창점,4.0,3,#제로페이
강가네마포숯불갈비,5.0,3,#제로페이
치킨42.195 창동점,5.0,1,#제로페이
명가네순대국,0,0,#제로페이
소문난 순대국,3.0,1,#제로페이
남도가든,1.0,1,
황금 마늘보쌈칼국수칡냉명,5.0,3,#제로페이
복 치킨&호프,0,0,
대흥집,0,0,#제로페이
도넛스토리 창3동점,0,0,
한잔할까,5.0,1,
깨순이네포차,0,0,
고창식당,2.4,5,"#점심식사, #혼밥, #제로페이"
족발집,0,0,
경화닭한마리,0,0,
노가리앤비어,0,0,#카카오페이
서울회관,5.0,4,#제로페이
