가게 이름,별점,리뷰 수,태그들
BBQ 도봉역점,2.5,4,#제로페이
설기담,5.0,3,#상견례
민속전포장마차,0,0,
오가토,4.8,5,"#카카오페이, #제로페이"
케익프라자,0,0,#제로페이
정초밥,4.4,9,"#점심식사, #혼술"
봉구비어 도봉법조타운점,0,0,
쮸쮸,0,0,
낙원떡방앗간,1.0,1,#제로페이
황금잉어빵,0,0,
돼지네밥상,3.6,5,"#가정식뷔페, #점심식사, #한식뷔페, #혼밥"
배떡 수락산역점,2.7,3,#제로페이
과자나라센베이,1.0,1,
엣지리스피자,5.0,3,
장미실내포장마차,0,0,
BBQ 상계수락점,4.3,6,#제로페이
전남집,4.3,14,#노포
도봉기사식당,0,0,#혼밥
바보퓨전포차,0,0,
바보황소곱창&국수,0,0,
채한희퓨전떡,0,0,#제로페이
명품미가,3.0,2,#한식뷔페
오늘도문어마늘보쌈칼국수,4.5,6,"#친목모임, #제로페이"
의정부신곡부대찌개 도봉점,2.5,2,#제로페이
우수식당,5.0,1,
바로덮밥바로파스타경양식,0,0,#제로페이
명품수라상,0,0,"#한식뷔페, #혼밥, #제로페이"
예전,0,0,#제로페이
히노끼스시,5.0,4,#제로페이
서신옥 본점,3.7,3,#제로페이
원뿔한우등심,0,0,
조선제일짬뽕화원,4.8,6,"#혼밥, #혼술, #제로페이"
남원추어탕,0,0,#제로페이
모둠전호프,0,0,#제로페이
가온가마순대국감자탕 도봉점,0,0,#혼밥
어향,2.0,6,"#노포, #코스요리, #혼밥, #제로페이"
명품홍삼숙성삼겹살,0,0,#회식장소
피제이피자 노원점,3.0,2,#제로페이
착한칡냉면 도봉점,4.3,3,
남원추어탕,4.2,6,"#혼밥, #제로페이"
아이스크림스토리 상계점,0,0,
라라곰,5.0,6,"#베이커리카페, #수제디저트, #제로페이"
홍이옥설렁탕,4.5,2,#제로페이
뚱뚱이뼈다귀감자탕,0,0,
불타는닭발,4.4,17,#제로페이
김치촌고깃집,0,0,
양푼리김치촌,5.0,2,#제로페이
진식당,0,0,
간식창고 상계점,5.0,2,#제로페이
맛닭꼬 상계로또점,4.4,7,
동호숯불바베큐,3.6,8,#제로페이
포계촌,4.4,17,#제로페이
,2,,
우마이,4.8,4,#제로페이
오렌지몽키파스타&마르코존스피자 노원점,3.7,3,#제로페이
33떡볶이 상록마들점,3.3,3,
미진축산 노원마들점,0,0,"#카카오페이, #제로페이"
쁘띠르뽀미에,0,0,
회뜨는마을,0,0,
치킨히어로 상계본점,2.0,1,
명동분식,3.0,1,#제로페이
신의주찹쌀순대 마들역점,3.0,7,"#혼밥, #제로페이"
본죽 마들역점,2.7,7,#제로페이
BHC치킨 마들점,4.3,22,#제로페이
남가네설악추어탕 상계점,2.7,13,#혼밥
한모둠순대국 상계점,0,0,
감성쭈꾸미,3.3,8,"#가족모임, #친목모임, #제로페이"
바우네나주곰탕 상계점,0,0,#혼밥
호치킨 노원마들점,2.6,5,
천하뼈다귀감자탕,3.1,27,#제로페이
금강산보석사우나네 구내식당,0,0,
또와분식,3.7,3,#노포
달인보쌈 상계점,4.0,24,"#선한영향력가게, #점심식사, #제로페이"
,111,,
24시전주명가 콩나물국밥,4.4,10,"#혼밥, #제로페이"
채선당 샤브탕 마들점,5.0,6,#혼밥
어랑칼국수,0,0,
알바트로스 마들점,5.0,3,"#친목모임, #제로페이"
,4,,
원할머니보쌈족발 수락산점,3.5,10,"#가족모임, #친목모임, #제로페이"
채선당 도시락&샐러드 마들점,3.3,3,#건강식
쁘띠베이커리,0,0,
금강산 상계점,3.3,6,#제로페이
채선당면가 마들점,0,0,
밀푸솜,4.5,4,"#카카오페이, #제로페이"
국밥클라쓰 노원점,0,0,
청미식당,2.3,3,"#한식뷔페, #함바식당, #혼밥, #혼술, #제로페이"
일향루,4.2,5,
맥도날드 상계DT점,3.5,54,#카카오페이
다빈푸드,0,0,
모모치킨 상계점,5.0,11,#제로페이
골목장어,4.5,2,"#친목모임, #제로페이"
굽네치킨 수락점,1.4,10,"#카카오페이, #제로페이"
미스테리분식,0,0,
영운식당,5.0,2,#제로페이
수락흥부전,5.0,3,#제로페이
태능식당,0,0,#제로페이
형제떡방,0,0,#제로페이
수락골,0,0,
여자만아구찜,4.1,7,"#데이트코스, #제로페이"
미락중화요리,4.2,5,#제로페이
오복식당,0,0,
김가네순대국,0,0,
산동성,0,0,
코코치킨 상계본점,0,0,
윰카롱,0,0,
보리통호프,0,0,#제로페이
상계 소문난탕과구이,0,0,
해피타임,5.0,1,"#가족모임, #점심특선, #제로페이"
아구듬뿍앤알곤마니 서울상계점,0,0,
옛고을영양탕오리,5.0,3,"#가족모임, #건강식, #친목모임, #회식장소, #제로페이"
곱창플러스,0,0,
황소야돼지야,4.5,2,"#정육식당, #제로페이"
피자아이씨 수락점,4.3,3,#제로페이
조아분식,0,0,
테이크돈,5.0,3,"#닭강정, #돈까스, #족발, #수락산역돈까스, #수락산역맛집"
오렌지분식,4.9,7,#제로페이
고여사닭발 수락점,5.0,1,#제로페이
장수루마라탕,0,0,
장수루양꼬치 수락산점,2.9,7,
예가흑염소,5.0,1,#점심특선
뭉치,4.0,7,"#노포, #제로페이"
왕십리불곱창,0,0,
코리안바베큐 수락산점,1.9,7,#제로페이
이름없는포차,0,0,
도미노피자 상계점,1.9,14,#제로페이
부어치킨 노원점,1.5,2,
원조의정부골목부대찌개,0,0,
유진수산,0,0,
로얄,0,0,#제로페이
마마스임실치즈피자,5.0,2,#제로페이
생구이짱하우스,0,0,#제로페이
디어조이,5.0,1,
황궁,4.5,11,"#혼밥, #제로페이"
최선생꽈배기 마들역점,5.0,2,#제로페이
오빠곱창,5.0,4,#제로페이
딹조아비어,0,0,#혼술
명이네,0,0,
남원추어탕,5.0,1,
수내닭꼬치 마들점,3.4,7,"#방문포장, #술한잔하기좋은, #혼술, #제로페이"
서가네순대국,2.7,10,"#혼밥, #제로페이"
광신족발곱창,5.0,2,#이동약자접근
미태리 마들역점,4.1,9,"#혼밥, #카카오페이"
다복향마라탕 마들역점,3.4,8,"#혼밥, #제로페이"
100백카츠,4.3,7,"#돈가스, #돈까스, #돈카츠, #새우튀김, #우동, #제로페이"
연탄불애막창구이 마들점,3.4,9,#제로페이
진진F&B,0,0,
달콤왕가탕후루 마들역점,5.0,1,
회세꼬시포차 마들점,0,0,
마들술집,0,0,
,26,,
골뱅이&치킨 마들점,0,0,
던킨 마들점,4.4,7,"#카카오페이, #제로페이"
배스킨라빈스 마들역점,2.8,11,"#카카오페이, #제로페이"
파리바게뜨 마들역점,1.8,17,"#카카오페이, #제로페이"
바불리옛날왕만두,2.6,9,
,19,,
김밥천국 마들역점,2.6,9,"#혼밥, #제로페이"
청가,4.3,6,"#점심식사, #혼밥, #제로페이"
명가통닭 마들점,4.4,18,#제로페이
다모아쭈꾸미,5.0,2,"#노포, #혼술"
돌깨마을맷돌순두부 마들점,4.6,17,"#점심식사, #혼밥, #제로페이"
포고쌀국수,4.0,4,"#혼밥, #제로페이"
엘리제과자점,3.1,23,"#백년가게, #이동약자접근, #제로페이"
홍춘천치즈닭갈비 마들역점,4.6,5,#제로페이
금강산복아구,0,0,
생고기하우스,5.0,3,#제로페이
마들포차,5.0,2,
구환회단팥빵,4.3,9,#카카오페이
마들케이크,4.7,7,"#가족행사, #레터링케이크, #수제케이크, #이동약자접근, #케이크주문제작, #제로페이"
파리바게뜨 상계중앙점,3.4,5,"#카카오페이, #제로페이"
